,decile,variable,value,year
128,9.0,Investments,0.04815922564728387,93
129,10.0,Investments,0.1471088851571918,93
0,1.0,Food,0.44500806861288816,94
1,2.0,Food,0.4021249280330633,94
2,3.0,Food,0.3729100792369927,94
3,4.0,Food,0.3455194637319569,94
4,5.0,Food,0.3264795951387538,94
5,6.0,Food,0.30497183922934606,94
6,7.0,Food,0.28564968789401646,94
7,8.0,Food,0.2627709944218412,94
8,9.0,Food,0.23331473952190004,94
9,10.0,Food,0.17668036054477537,94
10,1.0,Drink,0.010947785264614733,94
11,2.0,Drink,0.011392441512002454,94
12,3.0,Drink,0.010303524139038064,94
13,4.0,Drink,0.00948371915629992,94
14,5.0,Drink,0.007853813371144635,94
15,6.0,Drink,0.006644916748385213,94
16,7.0,Drink,0.005428272444081686,94
17,8.0,Drink,0.005248720935227285,94
18,9.0,Drink,0.0036778615621692505,94
19,10.0,Drink,0.0021830142236293677,94
20,1.0,Cloth,0.022408326566764347,94
21,2.0,Cloth,0.033998542882305874,94
22,3.0,Cloth,0.03880414987349765,94
23,4.0,Cloth,0.042612965870354236,94
24,5.0,Cloth,0.04398214334817066,94
25,6.0,Cloth,0.04782268031652149,94
26,7.0,Cloth,0.05220598846029548,94
27,8.0,Cloth,0.05450862113243527,94
28,9.0,Cloth,0.05428883148554271,94
29,10.0,Cloth,0.049897434280311556,94
30,1.0,Housing,0.2715861788940627,94
31,2.0,Housing,0.2565937541200262,94
32,3.0,Housing,0.24736480898662339,94
33,4.0,Housing,0.24604486345435986,94
34,5.0,Housing,0.2430368980137863,94
35,6.0,Housing,0.23513259976718276,94
36,7.0,Housing,0.2285473213776454,94
37,8.0,Housing,0.22070082370345165,94
38,9.0,Housing,0.20995375534051888,94
39,10.0,Housing,0.198698017186462,94
40,1.0,Furniture,0.029537355232551812,94
41,2.0,Furniture,0.028577003541571673,94
42,3.0,Furniture,0.02689599736458452,94
43,4.0,Furniture,0.025978278417255758,94
44,5.0,Furniture,0.02457029690994321,94
45,6.0,Furniture,0.023327909689804135,94
46,7.0,Furniture,0.023968282303234723,94
47,8.0,Furniture,0.02273416626856224,94
48,9.0,Furniture,0.02224031021026163,94
49,10.0,Furniture,0.025148667493227386,94
50,1.0,Health,0.03536694356514713,94
51,2.0,Health,0.038925484684856085,94
52,3.0,Health,0.043221354134656796,94
53,4.0,Health,0.04500949470487043,94
54,5.0,Health,0.04538809590801515,94
55,6.0,Health,0.04918930598351888,94
56,7.0,Health,0.055308375070785565,94
57,8.0,Health,0.05943412499603669,94
58,9.0,Health,0.06534584932269055,94
59,10.0,Health,0.06839110443566784,94
60,1.0,Transportation,0.04278164554389138,94
61,2.0,Transportation,0.04628081746704361,94
62,3.0,Transportation,0.0486124380884185,94
63,4.0,Transportation,0.049800581186490264,94
64,5.0,Transportation,0.050717323700268394,94
65,6.0,Transportation,0.05177889715444494,94
66,7.0,Transportation,0.05087656732485379,94
67,8.0,Transportation,0.04926252083055669,94
68,9.0,Transportation,0.04479773271729349,94
69,10.0,Transportation,0.03654471023693809,94
70,1.0,ICT,0.024470750401607632,94
71,2.0,ICT,0.025302709115831733,94
72,3.0,ICT,0.024957904056743932,94
73,4.0,ICT,0.025012371195379208,94
74,5.0,ICT,0.025072149832056176,94
75,6.0,ICT,0.023479667306746332,94
76,7.0,ICT,0.022409560470167164,94
77,8.0,ICT,0.021438416202819714,94
78,9.0,ICT,0.019860094888186006,94
79,10.0,ICT,0.014911595973508192,94
80,1.0,Entertainment,0.003415821872295368,94
81,2.0,Entertainment,0.004756181501371563,94
82,3.0,Entertainment,0.004982168781728799,94
83,4.0,Entertainment,0.004664065603881711,94
84,5.0,Entertainment,0.004861826677538694,94
85,6.0,Entertainment,0.004734766345040977,94
86,7.0,Entertainment,0.005018461094330617,94
87,8.0,Entertainment,0.00486119680810176,94
88,9.0,Entertainment,0.005039534012713734,94
89,10.0,Entertainment,0.005949765066819246,94
90,1.0,Restaurant,0.003180144065478717,94
91,2.0,Restaurant,0.00482663234670196,94
92,3.0,Restaurant,0.005579580275963288,94
93,4.0,Restaurant,0.0061009331708843425,94
94,5.0,Restaurant,0.0065250625797528645,94
95,6.0,Restaurant,0.006624486945018866,94
96,7.0,Restaurant,0.0073305587280614514,94
97,8.0,Restaurant,0.007739528483448892,94
98,9.0,Restaurant,0.009100745351054804,94
99,10.0,Restaurant,0.015886591744513196,94
100,1.0,Others,0.025921479380829306,94
